Date : 2025-05-20 20:58:23
Directory : c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib
Total : 365 files,  -86688 codes, -2816 comments, -8580 blanks, all -98084 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Java Properties    |          2 |         -9 |          0 |         -2 |        -11 |
| JSON with Comments |          1 |        -17 |          0 |         -2 |        -19 |
| HTML               |          1 |        -19 |        -15 |         -5 |        -39 |
| YAML               |          2 |        -41 |        -22 |        -11 |        -74 |
| Swift              |          6 |        -58 |         -7 |        -20 |        -85 |
| Markdown           |          2 |        -61 |          0 |        -22 |        -83 |
| Gradle             |          3 |        -69 |         -6 |        -15 |        -90 |
| XML                |         10 |       -472 |        -53 |        -12 |       -537 |
| Dart               |         11 |     -3,175 |        -66 |       -270 |     -3,511 |
| CMake              |         87 |     -3,980 |          0 |     -1,129 |     -5,109 |
| CMake Cache        |         20 |     -6,480 |          0 |     -1,560 |     -8,040 |
| C                  |         20 |    -12,200 |     -1,240 |     -2,640 |    -16,080 |
| C++                |         36 |    -12,519 |     -1,407 |     -2,788 |    -16,714 |
| JSON               |        164 |    -47,588 |          0 |       -104 |    -47,692 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        365 |    -86,688 |     -2,816 |     -8,580 |    -98,084 |
| ..                                                                                                                                                                                  |        365 |    -86,688 |     -2,816 |     -8,580 |    -98,084 |
| .. (Files)                                                                                                                                                                          |          4 |       -116 |        -22 |        -33 |       -171 |
| ..\android                                                                                                                                                                          |        312 |    -81,646 |     -2,577 |     -7,966 |    -92,189 |
| ..\android (Files)                                                                                                                                                                  |          3 |        -41 |          0 |         -9 |        -50 |
| ..\android\app                                                                                                                                                                      |        308 |    -81,600 |     -2,577 |     -7,956 |    -92,133 |
| ..\android\app (Files)                                                                                                                                                              |          1 |        -32 |         -6 |         -7 |        -45 |
| ..\android\app\.cxx                                                                                                                                                                 |        300 |    -81,500 |     -2,520 |     -7,940 |    -91,960 |
| ..\android\app\.cxx\Debug                                                                                                                                                           |        240 |    -65,200 |     -2,016 |     -6,352 |    -73,568 |
| ..\android\app\.cxx\Debug\23624u3e                                                                                                                                                  |         60 |    -16,300 |       -504 |     -1,588 |    -18,392 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a                                                                                                                                        |         15 |     -4,075 |       -126 |       -397 |     -4,598 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a (Files)                                                                                                                                |          5 |       -422 |          0 |        -87 |       -509 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\.cmake                                                                                                                                 |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\.cmake\api                                                                                                                             |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\.cmake\api\v1                                                                                                                          |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\.cmake\api\v1\reply                                                                                                                    |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\CMakeFiles                                                                                                                             |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty                                                                                                       |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty (Files)                                                                                               |          3 |       -130 |          0 |        -43 |       -173 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                                           |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\23624u3e\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                                         |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a                                                                                                                                      |         15 |     -4,075 |       -126 |       -397 |     -4,598 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a (Files)                                                                                                                              |          5 |       -422 |          0 |        -87 |       -509 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\.cmake                                                                                                                               |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\.cmake\api                                                                                                                           |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\.cmake\api\v1                                                                                                                        |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\.cmake\api\v1\reply                                                                                                                  |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\CMakeFiles                                                                                                                           |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty                                                                                                     |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty (Files)                                                                                             |          3 |       -130 |          0 |        -43 |       -173 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                                         |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\23624u3e\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                                       |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\23624u3e\x86                                                                                                                                              |         15 |     -4,075 |       -126 |       -397 |     -4,598 |
| ..\android\app\.cxx\Debug\23624u3e\x86 (Files)                                                                                                                                      |          5 |       -422 |          0 |        -87 |       -509 |
| ..\android\app\.cxx\Debug\23624u3e\x86\.cmake                                                                                                                                       |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\x86\.cmake\api                                                                                                                                   |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\x86\.cmake\api\v1                                                                                                                                |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\x86\.cmake\api\v1\reply                                                                                                                          |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles                                                                                                                                   |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty                                                                                                             |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty (Files)                                                                                                     |          3 |       -130 |          0 |        -43 |       -173 |
| ..\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                                                 |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\23624u3e\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                                               |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64                                                                                                                                           |         15 |     -4,075 |       -126 |       -397 |     -4,598 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64 (Files)                                                                                                                                   |          5 |       -422 |          0 |        -87 |       -509 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\.cmake                                                                                                                                    |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\.cmake\api                                                                                                                                |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\.cmake\api\v1                                                                                                                             |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\.cmake\api\v1\reply                                                                                                                       |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\CMakeFiles                                                                                                                                |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\CMakeFiles\3.22.1-g37088a8-dirty                                                                                                          |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\CMakeFiles\3.22.1-g37088a8-dirty (Files)                                                                                                  |          3 |       -130 |          0 |        -43 |       -173 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                                              |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\23624u3e\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                                            |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\32x15634                                                                                                                                                  |         60 |    -16,300 |       -504 |     -1,588 |    -18,392 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a                                                                                                                                        |         15 |     -4,075 |       -126 |       -397 |     -4,598 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a (Files)                                                                                                                                |          5 |       -422 |          0 |        -87 |       -509 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\.cmake                                                                                                                                 |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\.cmake\api                                                                                                                             |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\.cmake\api\v1                                                                                                                          |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\.cmake\api\v1\reply                                                                                                                    |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\CMakeFiles                                                                                                                             |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty                                                                                                       |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty (Files)                                                                                               |          3 |       -130 |          0 |        -43 |       -173 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                                           |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\32x15634\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                                         |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a                                                                                                                                      |         15 |     -4,075 |       -126 |       -397 |     -4,598 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a (Files)                                                                                                                              |          5 |       -422 |          0 |        -87 |       -509 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\.cmake                                                                                                                               |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\.cmake\api                                                                                                                           |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\.cmake\api\v1                                                                                                                        |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\.cmake\api\v1\reply                                                                                                                  |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\CMakeFiles                                                                                                                           |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty                                                                                                     |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty (Files)                                                                                             |          3 |       -130 |          0 |        -43 |       -173 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                                         |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\32x15634\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                                       |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\32x15634\x86                                                                                                                                              |         15 |     -4,075 |       -126 |       -397 |     -4,598 |
| ..\android\app\.cxx\Debug\32x15634\x86 (Files)                                                                                                                                      |          5 |       -422 |          0 |        -87 |       -509 |
| ..\android\app\.cxx\Debug\32x15634\x86\.cmake                                                                                                                                       |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\x86\.cmake\api                                                                                                                                   |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\x86\.cmake\api\v1                                                                                                                                |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\x86\.cmake\api\v1\reply                                                                                                                          |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\32x15634\x86\CMakeFiles                                                                                                                                   |          5 |     -1,338 |       -126 |       -305 |     -1,769 |
